user_id,anime_id,rating
73424,7785,10
59789,19769,6
55960,59,10
71461,3342,10
55390,986,8
21160,14345,10
51693,8312,7
57050,2026,9
35577,11759,9
4574,8675,9
38920,7,6
38644,19365,6
66021,12929,-1
36665,19163,-1
61228,2236,9
47612,23383,8
10501,953,8
3398,10119,8
43494,6547,8
56577,8630,7
52017,73,-1
57033,12467,8
48981,9617,10
28241,164,-1
35247,9253,8
44946,10588,-1
44872,4087,9
46109,198,8
48485,1535,10
21208,9041,10
29414,20903,9
16980,11887,8
497,27603,10
1843,30379,9
67934,849,-1
66792,1887,5
23529,10719,-1
68139,2155,8
58736,2604,6
51999,384,10
54001,20,10
63710,24991,-1
20928,28701,10
2431,8630,7
20081,59,7
70961,7669,8
68130,121,9
701,2001,7
22649,16169,4
10212,9919,7
36658,6880,7
57253,696,-1
72477,8438,-1
36205,25161,9
55258,11235,-1
37948,15633,6
58522,15609,4
27035,5341,8
12430,3655,9
45659,16528,8
61501,10379,9
46469,16866,-1
26347,8795,10
48203,1818,9
27351,269,-1
22334,33222,-1
11495,6401,-1
35417,1010,-1
61430,849,8
49832,5074,6
46077,121,9
2480,10521,9
72947,30137,5
32234,30,10
51092,934,9
62478,5081,8
57327,4970,-1
21748,21541,7
32567,889,8
35635,16916,9
58656,3927,-1
41832,7724,-1
45477,1121,9
19399,68,-1
39223,7054,8
61115,10417,9
49418,20057,7
55319,2596,7
32859,11757,-1
27678,6046,9
33643,27633,-1
53793,6956,8
31478,849,9
65497,21653,4
45649,29786,-1
72325,10620,9
63976,185,-1
20742,12189,9
43668,7465,-1
51559,11979,9
60407,17909,9
43599,12477,9
35856,14741,10
66780,995,9
24098,10397,8
33833,874,-1
24434,7311,6
7070,6330,7
6769,22759,7
3414,781,8
23343,12189,-1
38933,5680,-1
24706,4938,-1
55310,1895,-1
63598,21085,6
896,1060,9
30595,603,5
10931,1727,5
5011,226,7
21510,9308,-1
18355,11757,9
65005,10715,8
11097,15417,10
43529,1384,8
58785,578,8
18193,12531,8
40611,156,9
58180,1592,8
68568,372,9
8706,2666,8
50685,998,8
58219,3266,6
42148,20507,10
39009,4726,8
43308,1686,10
12344,4186,8
11740,530,5
37703,1818,8
70967,28701,9
30680,9919,9
28198,10156,-1
44175,3056,-1
9083,7465,7
23753,10719,-1
40320,512,9
6734,1375,9
58438,16009,7
41315,3782,-1
42576,5680,8
29827,528,9
24080,23199,-1
58793,6045,9
39121,30206,-1
72120,24415,9
19152,9756,10
28524,2904,-1
53493,469,9
39408,21185,8
59141,419,8
24316,7311,10
42002,16866,7
45248,18507,7
40795,121,9
45715,530,6
452,11757,-1
48433,4898,10
24521,2904,10
28053,325,9
10858,22319,9
54131,227,7
5294,93,7
37406,1840,5
40959,14833,8
26858,5300,8
64527,13601,9
26804,27631,8
12968,8525,8
58840,861,7
26312,15729,-1
